KerbsideID,Zone_Number
,7924.0
,7924.0
53514,900000.0
,900001.0
,7753.0
,7753.0
,7753.0
,7753.0
67632,7076.0
50511,7647.0
,7250.0
,7160.0
,7250.0
,7721.0
,900002.0
,900002.0
,900002.0
,900002.0
,900002.0
,900003.0
,900003.0
,900003.0
,900003.0
,900003.0
,900003.0
,900003.0
,900003.0
,900003.0
,7245.0
,900004.0
22860,7025.0
22864,7025.0
22873,7025.0
22876,7025.0
22867,7025.0
,7716.0
51827,7674.0
,7506.0
,7451.0
,7716.0
,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
,7239.0
,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
65810,7563.0
,900004.0
78160,900004.0
78112,900004.0
78126,900004.0
78128,900004.0
,900002.0
,900002.0
,900005.0
,900005.0
,900005.0
,900005.0
,900005.0
,7049.0
,7049.0
,900004.0
,900004.0
,900002.0
,900002.0
51449,7406.0
16778,7566.0
,900006.0
,900006.0
,7084.0
,900002.0
,900002.0
,900007.0
,7930.0
,900004.0
,900004.0
,7025.0
,7025.0
,7025.0
,900004.0
,900004.0
,7250.0
63827,7594.0
,900002.0
,7586.0
,900004.0
,7246.0
,900005.0
,900005.0
,900005.0
,900005.0
,900005.0
79040,900004.0
79043,900004.0
79049,900004.0
78982,900004.0
,7348.0
,7348.0
,7348.0
,7348.0
,7348.0
,7348.0
,7348.0
,900004.0
,900005.0
,900002.0
,7301.0
75253,900004.0
75259,900004.0
75261,900004.0
75264,900004.0
75267,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
75949,900004.0
22434,7910.0
76051,900004.0
,900004.0
52125,7634.0
52129,7634.0
,900004.0
,7910.0
,7910.0
,900008.0
,7586.0
,7586.0
,7586.0
,7586.0
,7586.0
21684,7584.0
21679,7584.0
,900008.0
,900008.0
,900008.0
78110,900004.0
,7739.0
,7924.0
,7924.0
65574,7566.0
65461,7551.0
54332,7594.0
54327,7594.0
54333,7594.0
,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
75919,900004.0
75961,900004.0
75837,900004.0
75834,900004.0
75873,900004.0
75875,900004.0
75865,900004.0
21526,7348.0
21527,7348.0
,7260.0
,900009.0
64142,7335.0
,7236.0
12297,7757.0
22023,7757.0
,900004.0
78880,900004.0
54520,7610.0
54551,7610.0
,7612.0
54436,7605.0
61716,7360.0
,900001.0
,900001.0
,900001.0
77433,900004.0
77431,900004.0
77429,900004.0
77420,900004.0
,900004.0
,900004.0
,900004.0
,900005.0
,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
15091,7186.0
20912,7197.0
,900004.0
,900004.0
,900004.0
69411,7076.0
61414,7457.0
61328,7459.0
18563,7227.0
23241,7939.0
,900004.0
,900004.0
,900004.0
,7348.0
,7348.0
,7348.0
,7348.0
,900004.0
75274,900004.0
,900004.0
,900004.0
,7739.0
,7739.0
53935,7592.0
,900004.0
75940,900004.0
22022,7757.0
12293,7757.0
,7269.0
65466,7551.0
18575,7163.0
70626,900004.0
77421,900004.0
65196,7568.0
94721,7186.0
18622,7186.0
,900004.0
20595,7202.0
20599,7202.0
21488,7202.0
90841,7184.0
,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
,900004.0
60424,7434.0
19286,900009.0
,7406.0
,900004.0
,900002.0
,900002.0
,7712.0
35518,7014.0
35516,7014.0
53712,900000.0
,7250.0
13410,7178.0
,900002.0
,900002.0
,7800.0
,900006.0
,900002.0
66444,7547.0
26238,7025.0
,900002.0
,900000.0
17437,7253.0
5959,7278.0
,900002.0
,900002.0
,900002.0
,900002.0
,7985.0
17455,7247.0
,900004.0
,900004.0
,900009.0
,900002.0
,900002.0
,900002.0
,900002.0
,7089.0
,900002.0
,7910.0
,7910.0
,7520.0
,7343.0
63516,7320.0
,7415.0
,900002.0
,900002.0
23267,7938.0
,7335.0
,7335.0
,7757.0
,900002.0
,900002.0
,900002.0
,900002.0
,900006.0
,900006.0
,900006.0
,900006.0
,900006.0
,7757.0
,900005.0
,900002.0
18643,7266.0
17958,7265.0
18825,7245.0
18826,7245.0
17506,7269.0
7485,7236.0
7879,7239.0
16430,7237.0
,7237.0
,7234.0
,7237.0
17562,7246.0
17549,7246.0
17564,7246.0
25124,7250.0
25122,7250.0
25113,7250.0
25091,7250.0
25085,7250.0
25073,7250.0
25064,7250.0
25061,7250.0
25056,7250.0
,7250.0
,7392.0
,7621.0
,7621.0
17380,7252.0
63067,7333.0
68042,7705.0
,900002.0
,7571.0
,7264.0
10973,7264.0
,7301.0
,7301.0
,7301.0
,7301.0
,7301.0
,7301.0
,7301.0
,7301.0
,7301.0
,7301.0
,7301.0
18168,7297.0
,7245.0
,7260.0
,7260.0
,7251.0
,900002.0
62547,7354.0
,7401.0
,900004.0
,900004.0
,900004.0
,900004.0
,900009.0
,900009.0
,900009.0
,900009.0
,900009.0
,900009.0
,900009.0
,900009.0
,900009.0
,7270.0
,7270.0
,7246.0
,7246.0
,7270.0
,7270.0
,7243.0
,7250.0
,7250.0
,7250.0
,7250.0
,7270.0
,7243.0
,7243.0
,900009.0
,900009.0
,900009.0
,900009.0
,900009.0
,7049.0
61137,7450.0
,900009.0
,900009.0
,900009.0
,900009.0
,7049.0
,900002.0
,900002.0
,900009.0
,900009.0
,900009.0
,900009.0
,900009.0
,900006.0
,900006.0
,900006.0
,7173.0
,7173.0
,7938.0
,7938.0
,7049.0
,900009.0
,7722.0
,900004.0
,7800.0
,900010.0
,900005.0
,900002.0
,7722.0
,900002.0
,900002.0
,900010.0
,900002.0
,900005.0
,900002.0
,900001.0
,900002.0
,7348.0
,900002.0
,7800.0
,900005.0
,900010.0
,900002.0
,900002.0
,900002.0
,900002.0
,900011.0
,900004.0
,900002.0
,900001.0
,900005.0
,900005.0
,900002.0
,7301.0
,900005.0
,900001.0
,900002.0
,900002.0
,900002.0
,900005.0
,900002.0
,900011.0
,900011.0
,900002.0
,900002.0
,900001.0
,7757.0
,900002.0
,7348.0
,900005.0
,7800.0
,7236.0
,900002.0
,900002.0
,900001.0
,900012.0
,900002.0
,900005.0
,900002.0
,7726.0
,900002.0
,7739.0
,900002.0
,900011.0
,900005.0
,900005.0
,900002.0
,7800.0
,900002.0
,900002.0
,900005.0
,900005.0
,900011.0
,900002.0
,900011.0
,900002.0
,900004.0
,900002.0
,7766.0
,900001.0
,7348.0
,900011.0
,900010.0
,900010.0
,900002.0
,900002.0
,7712.0
,900005.0
,900002.0
,900011.0
,900002.0
,900005.0
,900005.0
,7722.0
,7722.0
,7271.0
,900012.0
,900002.0
,900002.0
,900002.0
,7800.0
,7250.0
,900012.0
,7236.0
,7753.0
,7753.0
,900005.0
,900013.0
,900002.0
,900005.0
,900005.0
,900002.0
,900005.0
,900010.0
,900011.0
,900002.0
,7985.0
,900002.0
,900005.0
,7739.0
,900005.0
,900005.0
76065,900004.0
,900002.0
,900011.0
,900011.0
,900002.0
,900002.0
,900004.0
,900004.0
,7348.0
,900002.0
,900002.0
,900002.0
,900005.0
,900004.0
,900004.0
,7725.0
,7348.0
,900002.0
,900002.0
,900001.0
,900004.0
,900001.0
,900005.0
,7712.0
,900005.0
,900002.0
,900014.0
,7722.0
,7250.0
,900002.0
,7250.0
,900002.0
,7924.0
,900002.0
,7739.0
,900002.0
,900004.0
,900004.0
,900010.0
,900002.0
,900002.0
,900002.0
,900002.0
,7348.0
,900002.0
,900002.0
,900002.0
,7250.0
,900011.0
,900002.0
,7722.0
,900002.0
,900002.0
,900005.0
,900002.0
,900005.0
,900002.0
,900011.0
,900005.0
,900002.0
,900002.0
,900002.0
,900002.0
,900005.0
,900013.0
,900002.0
,900001.0
,900002.0
65552,7566.0
57942,7218.0
57941,7218.0
57937,7218.0
,7621.0
65834,7561.0
65022,7570.0
65047,7570.0
52224,7639.0
62116,7333.0
61911,7356.0
61940,7356.0
61952,7356.0
,7332.0
,7336.0
,7336.0
,7339.0
63954,7339.0
