Zone_Number,dow,slot_30,total_obs,unoccupied,availability_rate,Latitude,Longitude
7010,4,17,2,0,0.0,-37.8050060947,144.9602546122
7010,4,19,2,0,0.0,-37.8050060947,144.9602546122
7010,4,20,2,0,0.0,-37.8050060947,144.9602546122
7010,4,21,1,0,0.0,-37.8050060947,144.9602546122
7010,4,24,1,1,1.0,-37.8050060947,144.9602546122
7010,3,25,1,0,0.0,-37.8050060947,144.9602546122
7014,3,19,1,0,0.0,-37.8010390449,144.9626676404
7014,3,30,2,0,0.0,-37.8010390449,144.9626676404
7014,3,32,1,0,0.0,-37.8010390449,144.9626676404
7018,4,16,1,0,0.0,-37.8022611453,144.9632842893
7018,4,24,1,1,1.0,-37.8022611453,144.9632842893
7018,4,25,1,1,1.0,-37.8022611453,144.9632842893
7019,2,16,1,0,0.0,-37.8061651,144.961357
7025,0,17,3,2,0.6667,-37.8049567975,144.9621059801
7025,3,21,1,0,0.0,-37.8049567975,144.9621059801
7025,2,30,1,1,1.0,-37.8049567975,144.9621059801
7025,1,39,1,0,0.0,-37.8049567975,144.9621059801
7025,1,47,2,2,1.0,-37.8049567975,144.9621059801
7049,1,15,1,1,1.0,-37.7959348089,144.972601879
7049,6,20,1,1,1.0,-37.7959348089,144.972601879
7049,1,21,1,1,1.0,-37.7959348089,144.972601879
7049,1,22,1,0,0.0,-37.7959348089,144.972601879
7049,1,23,1,0,0.0,-37.7959348089,144.972601879
7049,1,24,1,0,0.0,-37.7959348089,144.972601879
7049,0,25,1,1,1.0,-37.7959348089,144.972601879
7049,1,26,1,1,1.0,-37.7959348089,144.972601879
7049,1,28,1,1,1.0,-37.7959348089,144.972601879
7049,0,31,1,0,0.0,-37.7959348089,144.972601879
7049,0,36,1,0,0.0,-37.7959348089,144.972601879
7049,0,42,1,0,0.0,-37.7959348089,144.972601879
7049,4,46,1,0,0.0,-37.7959348089,144.972601879
7053,1,15,1,1,1.0,-37.7942929374,144.9724203807
7053,5,15,1,0,0.0,-37.7942929374,144.9724203807
7053,1,20,1,0,0.0,-37.7942929374,144.9724203807
7053,6,23,1,0,0.0,-37.7942929374,144.9724203807
7053,1,25,2,1,0.5,-37.7942929374,144.9724203807
7053,1,26,2,1,0.5,-37.7942929374,144.9724203807
7053,5,30,1,0,0.0,-37.7942929374,144.9724203807
7053,3,31,1,0,0.0,-37.7942929374,144.9724203807
7053,0,33,1,0,0.0,-37.7942929374,144.9724203807
7053,4,36,1,0,0.0,-37.7942929374,144.9724203807
7053,6,42,1,0,0.0,-37.7942929374,144.9724203807
7076,3,9,1,1,1.0,-37.8058603661,144.9659168006
7076,3,15,1,1,1.0,-37.8058603661,144.9659168006
7076,4,16,1,0,0.0,-37.8058603661,144.9659168006
7076,3,17,1,1,1.0,-37.8058603661,144.9659168006
7076,3,18,1,0,0.0,-37.8058603661,144.9659168006
7076,3,20,1,0,0.0,-37.8058603661,144.9659168006
7076,4,20,1,0,0.0,-37.8058603661,144.9659168006
7076,4,23,1,0,0.0,-37.8058603661,144.9659168006
7076,4,25,2,1,0.5,-37.8058603661,144.9659168006
7076,4,26,3,2,0.6667,-37.8058603661,144.9659168006
7076,4,27,4,0,0.0,-37.8058603661,144.9659168006
7076,1,39,1,1,1.0,-37.8058603661,144.9659168006
7076,3,44,1,1,1.0,-37.8058603661,144.9659168006
7081,4,3,1,1,1.0,-37.8069059167,144.97324565
7081,0,15,1,1,1.0,-37.8069059167,144.97324565
7081,0,21,1,1,1.0,-37.8069059167,144.97324565
7081,5,21,1,1,1.0,-37.8069059167,144.97324565
7081,0,30,1,0,0.0,-37.8069059167,144.97324565
7084,6,1,2,2,1.0,-37.8027684787,144.9613314254
7084,3,8,1,1,1.0,-37.8027684787,144.9613314254
7084,3,18,1,1,1.0,-37.8027684787,144.9613314254
