Zone_Number,Latitude,Longitude,slot_0,slot_1,slot_10,slot_11,slot_12,slot_13,slot_14,slot_15,slot_16,slot_17,slot_18,slot_19,slot_2,slot_20,slot_21,slot_22,slot_23,slot_24,slot_25,slot_26,slot_27,slot_28,slot_29,slot_3,slot_30,slot_31,slot_32,slot_33,slot_34,slot_35,slot_36,slot_37,slot_38,slot_39,slot_4,slot_40,slot_41,slot_42,slot_43,slot_44,slot_45,slot_46,slot_47,slot_5,slot_6,slot_7,slot_8,slot_9
7010,-37.8050060947,144.9602546122,,,,,,,,,,0.0,,0.0,,0.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7014,-37.8010390449,144.9626676404,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
7018,-37.8022611453,144.9632842893,,,,,,,,,0.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7019,-37.8061651,144.961357,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7025,-37.8049567975,144.9621059801,,,,,,,,,,0.6667,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,0.0,,,,,,,,,1.0,,,,,
7049,-37.7959348089,144.972601879,,,,,,,,1.0,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,1.0,,,,0.0,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,
7053,-37.7942929374,144.9724203807,,,,,,,,0.5,,,,,,0.0,,,0.0,,0.5,0.5,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,
7076,-37.8058603661,144.9659168006,,,,,,,,1.0,0.0,1.0,0.0,,,0.0,,,0.0,,0.5,0.6667,0.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0
7081,-37.8069059167,144.97324565,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
7084,-37.8027684787,144.9613314254,,1.0,,,,,,,,,1.0,,,1.0,,,,0.5,,0.3333,0.5556,0.5,,,,,,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,1.0,
7089,-37.8027791813,144.9669058569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,
7090,-37.8059644,144.9659134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
7096,-37.8450477,144.9810079667,,,,,,,,,,,,,,,,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7156,-37.8138181955,144.9421269091,,,,,,,,,,,,,,0.0,,0.0,,0.3333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7159,-37.8193705091,144.9504116818,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,1.0,1.0,,,,,,,
7160,-37.8140493,144.9412393,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7161,-37.8206340565,144.9512744478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,,,,0.0,1.0,1.0,0.75,1.0,,,,,,
7163,-37.8194764915,144.9484948234,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.4286,,0.0,1.0,0.4,,,,,,,,,,1.0,,,0.5,1.0,,,,,,,
7165,-37.8187851633,144.9475304333,,,,,,,,,,,,,,1.0,,,,,0.0,0.0,,,,,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,
7167,-37.820298788,144.942080076,1.0,,,,,0.0,,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,
7170,-37.819609875,144.944222925,,,,,,,,,,,,,,0.0,,,0.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7173,-37.8192828516,144.9455249297,,,,,,,0.0,1.0,0.5,,0.6667,1.0,1.0,,1.0,0.25,,0.0,0.66665,,,,,,,1.0,1.0,0.0,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,
7178,-37.819881175,144.9435501324,,,,,0.0,,0.0,0.0,,,0.0,0.0,,0.3333,0.0,0.5,0.0,0.0,0.0,,,1.0,,,1.0,0.0,1.0,,,,,,,,,0.0,,,,1.0,1.0,0.0,,,,,,
7182,-37.8210903333,144.9422498333,,,,,,,,,,0.0,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7183,-37.8204110824,144.9495790412,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.0,1.0,,,,,,,,,0.0,,,,1.0,,,,,,,,
7184,-37.82147906,144.946917024,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,1.0,0.5,,,,,1.0,,,,,,,,,,,,,1.0,,,
7185,-37.8213405333,144.9446856667,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
7186,-37.8211523321,144.9435490036,,,,,,,0.0,1.0,,0.0,0.0,1.0,,0.0,,1.0,0.3333,0.5,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,0.5,,,,
7188,-37.82035444,144.93979128,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,0.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
7189,-37.8159378333,144.9649788,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7190,-37.8158449,144.964955625,,,,,,,,,,,0.0,0.0,,,,1.0,,0.0,0.4286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7191,-37.813922625000004,144.9402477875,,,,,,,,,,,,,,,0.0,,0.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7193,-37.8146021125,144.9397693042,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7194,-37.819026275,144.944266975,,,,0.0,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7195,-37.8131562,144.94227694,,,,,,,0.0,,,,,0.0,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7197,-37.8201638571,144.9454077095,,,,,,,,,,,1.0,,,0.0,0.5,1.0,0.5,0.6667,0.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,
7200,-37.8216740857,144.9504825571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,,,,,,
7202,-37.8199626172,144.9471867207,1.0,,,,,,,,0.0,,,0.5,1.0,1.0,,0.75,,,0.0,,0.5,,1.0,,1.0,0.0,,,1.0,,1.0,,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,,
7203,-37.8219711,144.9477903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
7205,-37.814602975,144.9468118437,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,
7207,-37.82021871,144.94446747,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7208,-37.8211671364,144.9455557455,,,,,,,,,1.0,0.0,1.0,0.5,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7210,-37.8125659,144.9402362571,,,,,,,,0.0,,,1.0,1.0,,,0.0,0.0,0.0,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7212,-37.8195009077,144.9436029308,,,,,,,,,0.0,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7213,-37.8205729467,144.94412274,,,,,,,0.0,,,,,0.0,,,,,1.0,,,,,,,,1.0,,0.5,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,
7214,-37.820204925,144.9460235125,,1.0,,,1.0,,,,,,0.0,0.5,,,0.5,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7218,-37.8205733154,144.9546815846,,,,,,,,0.0,,,,,,0.0,,,,0.0,0.6667,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
7219,-37.8221406773,144.9538281455,,,,,,0.0,,,,,,0.0,,,,,0.0,,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7220,-37.8150007556,144.9370899278,,,,,,,,,,,,,,,0.0,0.6667,0.5,0.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
7222,-37.82058756,144.94299872,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,
7223,-37.8221945667,144.9542029667,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7226,-37.8130648308,144.9406944308,,,,,,,0.0,,,,1.0,,,1.0,,0.5,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7227,-37.81879795,144.94962065,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,
7228,-37.8197128364,144.9497266818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,1.0,,1.0,,,,,,
7229,-37.8213448455,144.9510566818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,1.0,,,,1.0,,,,,,,,,,
7230,-37.8208997333,144.9507582333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,
7231,-37.8209069333,144.9442050333,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,
7232,-37.8130638813,144.9390288094,,,,,,,,,,,,,,1.0,,,0.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7234,-37.8101986273,144.9824055727,,,,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7236,-37.809486063,144.9769096444,,,,,,,,,1.0,,,,,,1.0,1.0,0.6667,0.7857,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7237,-37.8101895053,144.9814839,,,,,0.0,,,,,,,,,,0.0,,0.0,0.3333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7239,-37.8099609319,144.9796551383,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.3333,0.0,0.375,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7241,-37.8094814333,144.9774324833,,,,,,,,,,,,,,,,,0.6667,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7243,-37.810153246,144.9840712032,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.0,0.0,1.0,1.0,,,,,1.0,,,,,,,,,
7244,-37.8093163,144.9743374,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245,-37.8090397596,144.9744741115,,,,,,,,1.0,1.0,1.0,1.0,,,,0.0,0.5,0.5,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246,-37.8103761604,144.988132273,,,,,,,,,,,0.0,0.0,,,,,,,0.6667,,0.5,,1.0,,0.0,0.0,1.0,1.0,,,1.0,0.5,,1.0,,1.0,,,,1.0,,0.25,,0.0,,,,
7247,-37.8108572173,144.9768748942,,,,,,,,,1.0,,,,,0.0,1.0,0.0,0.5455,0.625,0.6,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7250,-37.8140846325,144.9829599565,1.0,,,,,,,,,,,,,,0.0,1.0,,,,,,,0.0,,,,,,0.5,0.5,1.0,1.0,1.0,0.5,,1.0,0.0,0.875,0.8889,1.0,0.8333,0.5,1.0,,,,,
7251,-37.8093632561,144.9811469951,,,,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,0.0,0.5,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,
7252,-37.8093156917,144.9806169583,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
7253,-37.8101069563,144.9756767312,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7254,-37.8103522833,144.9753678667,,,,,,,,,,,,,,,0.0,,,0.3333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7255,-37.8122734644,144.9864006424,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,0.0,1.0,1.0,,,,,
7258,-37.8103006185,144.9776261556,,,,0.0,,,,,,0.0,0.0,,,0.5,0.0,0.0,0.0,0.0,0.75,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
7259,-37.8114774091,144.9781028955,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7260,-37.8089575472,144.9785292194,,,,,,,,,,,,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7261,-37.8125411545,144.9364028364,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
