Zone_Number,dow,slot_30,total_obs,unoccupied,availability_rate
7010,3,25,1,0,0.0
7010,4,17,2,0,0.0
7010,4,19,2,0,0.0
7010,4,20,2,0,0.0
7010,4,21,1,0,0.0
7010,4,24,1,1,1.0
7014,3,19,1,0,0.0
7014,3,30,2,0,0.0
7014,3,32,1,0,0.0
7018,4,16,1,0,0.0
7018,4,24,1,1,1.0
7018,4,25,1,1,1.0
7019,2,16,1,0,0.0
7025,0,17,3,2,0.6667
7025,1,39,1,0,0.0
7025,1,47,2,2,1.0
7025,2,30,1,1,1.0
7025,3,21,1,0,0.0
7049,0,25,1,1,1.0
7049,0,31,1,0,0.0
7049,0,36,1,0,0.0
7049,0,42,1,0,0.0
7049,1,15,1,1,1.0
7049,1,21,1,1,1.0
7049,1,22,1,0,0.0
7049,1,23,1,0,0.0
7049,1,24,1,0,0.0
7049,1,26,1,1,1.0
7049,1,28,1,1,1.0
7049,4,46,1,0,0.0
7049,6,20,1,1,1.0
7053,0,33,1,0,0.0
7053,1,15,1,1,1.0
7053,1,20,1,0,0.0
7053,1,25,2,1,0.5
7053,1,26,2,1,0.5
7053,3,31,1,0,0.0
7053,4,36,1,0,0.0
7053,5,15,1,0,0.0
7053,5,30,1,0,0.0
7053,6,23,1,0,0.0
7053,6,42,1,0,0.0
7076,1,39,1,1,1.0
7076,3,9,1,1,1.0
7076,3,15,1,1,1.0
7076,3,17,1,1,1.0
7076,3,18,1,0,0.0
7076,3,20,1,0,0.0
7076,3,44,1,1,1.0
7076,4,16,1,0,0.0
7076,4,20,1,0,0.0
7076,4,23,1,0,0.0
7076,4,25,2,1,0.5
7076,4,26,3,2,0.6667
7076,4,27,4,0,0.0
7081,0,15,1,1,1.0
7081,0,21,1,1,1.0
7081,0,30,1,0,0.0
7081,4,3,1,1,1.0
7081,5,21,1,1,1.0
7084,2,35,1,1,1.0
7084,2,39,1,1,1.0
7084,2,42,1,1,1.0
7084,3,8,1,1,1.0
7084,3,18,1,1,1.0
7084,3,20,1,1,1.0
7084,3,24,2,1,0.5
7084,3,26,3,1,0.3333
7084,3,27,9,5,0.5556
7084,3,28,4,2,0.5
7084,5,44,1,1,1.0
7084,6,1,2,2,1.0
7089,2,34,1,0,0.0
7089,2,35,1,0,0.0
7089,2,37,4,0,0.0
7089,2,39,1,0,0.0
7090,1,40,1,1,1.0
7096,3,22,1,0,0.0
7096,3,23,1,0,0.0
7096,3,25,1,1,1.0
7156,3,20,1,0,0.0
7156,3,22,2,0,0.0
7156,3,24,3,1,0.3333
7156,3,25,1,0,0.0
7159,1,36,1,0,0.0
7159,1,42,1,1,1.0
7159,1,44,1,1,1.0
7159,1,45,2,2,1.0
7159,5,18,1,1,1.0
7160,3,21,1,0,0.0
7160,3,22,1,0,0.0
7160,3,24,2,0,0.0
7161,1,34,1,0,0.0
7161,1,35,4,0,0.0
7161,1,36,1,0,0.0
7161,1,39,1,0,0.0
7161,1,42,1,0,0.0
7161,1,43,1,1,1.0
7161,1,44,1,1,1.0
7161,1,45,4,3,0.75
7161,1,46,1,1,1.0
7163,1,45,1,1,1.0
7163,2,23,1,0,0.0
7163,2,24,1,0,0.0
7163,2,25,1,0,0.0
7163,2,27,1,0,0.0
7163,2,28,1,0,0.0
7163,2,29,7,3,0.4286
7163,2,30,3,0,0.0
7163,2,31,1,1,1.0
7163,2,32,5,2,0.4
7163,6,41,1,1,1.0
7163,6,44,2,1,0.5
7165,2,20,1,1,1.0
7165,2,25,2,0,0.0
7165,2,26,1,0,0.0
7165,2,30,1,0,0.0
7165,2,31,1,0,0.0
7165,2,32,2,1,0.5
7167,0,15,1,1,1.0
7167,1,21,1,0,0.0
7167,2,26,1,0,0.0
7167,2,31,1,0,0.0
7167,2,42,1,1,1.0
7167,3,0,1,1,1.0
7167,3,2,1,0,0.0
7167,3,13,1,0,0.0
7167,3,15,1,0,0.0
7167,3,16,1,0,0.0
7167,3,17,1,0,0.0
7167,3,18,2,0,0.0
7167,3,20,1,0,0.0
7167,3,39,1,1,1.0
7170,3,20,1,0,0.0
7170,3,23,1,0,0.0
7170,3,25,2,1,0.5
7173,0,31,1,1,1.0
7173,0,34,1,1,1.0
7173,1,2,1,1,1.0
7173,1,16,1,0,0.0
7173,2,14,1,0,0.0
7173,2,16,1,1,1.0
7173,2,19,1,1,1.0
7173,2,25,1,1,1.0
7173,2,32,1,1,1.0
7173,2,34,1,1,1.0
7173,2,38,1,1,1.0
7173,2,44,1,1,1.0
7173,2,46,1,1,1.0
7173,3,14,1,0,0.0
7173,3,15,1,1,1.0
7173,3,18,3,2,0.6667
7173,3,21,1,1,1.0
7173,3,22,4,1,0.25
7173,3,24,2,0,0.0
7173,3,25,3,1,0.3333
7173,6,33,1,0,0.0
7178,1,28,1,1,1.0
7178,2,30,1,1,1.0
7178,2,31,1,0,0.0
7178,2,32,1,1,1.0
7178,2,40,1,0,0.0
7178,2,44,1,1,1.0
7178,2,45,1,1,1.0
7178,2,46,1,0,0.0
7178,3,12,1,0,0.0
7178,3,14,4,0,0.0
7178,3,15,1,0,0.0
7178,3,18,2,0,0.0
7178,3,19,3,0,0.0
7178,3,20,3,1,0.3333
7178,3,21,4,0,0.0
7178,3,22,2,1,0.5
7178,3,23,6,0,0.0
7178,3,24,3,0,0.0
7178,3,25,2,0,0.0
7182,3,17,1,0,0.0
7182,3,20,1,1,1.0
7182,3,24,1,0,0.0
7183,1,40,1,0,0.0
7183,1,44,1,1,1.0
7183,2,27,1,0,0.0
7183,2,31,1,1,1.0
7183,2,32,1,1,1.0
7184,2,6,1,1,1.0
7184,2,22,1,0,0.0
7184,2,25,3,0,0.0
7184,2,31,1,1,1.0
7184,2,32,2,1,0.5
7184,3,37,1,1,1.0
7185,2,34,1,0,0.0
7185,3,13,1,0,0.0
7185,3,14,1,0,0.0
7186,0,5,1,0,0.0
7186,2,28,1,0,0.0
7186,2,33,1,1,1.0
7186,3,5,1,1,1.0
7186,3,14,1,0,0.0
7186,3,15,1,1,1.0
7186,3,17,2,0,0.0
7186,3,18,3,0,0.0
7186,3,19,2,2,1.0
7186,3,20,2,0,0.0
7186,3,22,1,1,1.0
7186,3,23,3,1,0.3333
7186,3,24,2,1,0.5
7188,1,25,1,1,1.0
7188,1,28,1,1,1.0
7188,2,10,1,0,0.0
7188,2,12,1,0,0.0
7188,2,22,1,0,0.0
7188,2,24,1,0,0.0
7188,2,30,1,1,1.0
7188,3,3,1,1,1.0
7188,3,11,1,0,0.0
7188,3,12,1,0,0.0
7188,3,13,2,0,0.0
7188,3,14,1,0,0.0
7188,3,18,1,0,0.0
7188,4,13,1,0,0.0
7189,3,13,1,0,0.0
7189,3,24,1,0,0.0
7189,3,25,1,0,0.0
7190,3,18,1,0,0.0
7190,3,19,2,0,0.0
7190,3,22,1,1,1.0
7190,3,24,4,0,0.0
7190,3,25,7,3,0.4286
7191,3,21,1,0,0.0
7191,3,23,1,0,0.0
7191,3,25,2,1,0.5
7193,3,17,1,0,0.0
7193,3,21,1,0,0.0
7193,3,22,1,0,0.0
7193,3,23,1,0,0.0
7193,3,24,1,0,0.0
7194,3,11,1,0,0.0
7194,3,13,1,0,0.0
7194,3,23,1,1,1.0
7195,3,14,1,0,0.0
7195,3,19,1,0,0.0
7195,3,24,5,0,0.0
7195,3,25,1,1,1.0
7197,0,21,1,1,1.0
7197,0,28,1,1,1.0
7197,0,30,1,1,1.0
7197,0,46,1,1,1.0
7197,1,18,1,1,1.0
7197,1,20,2,0,0.0
7197,1,23,1,1,1.0
7197,3,20,4,0,0.0
7197,3,21,2,0,0.0
7197,3,22,1,1,1.0
7197,3,23,1,0,0.0
7197,3,24,3,2,0.6667
7197,3,25,1,0,0.0
7200,1,42,1,0,0.0
7200,1,45,1,1,1.0
7202,0,22,1,1,1.0
7202,1,41,1,1,1.0
7202,1,46,1,1,1.0
7202,2,0,1,1,1.0
7202,2,2,1,1,1.0
7202,2,16,1,0,0.0
7202,2,19,2,1,0.5
7202,2,20,1,1,1.0
7202,2,22,2,1,0.5
7202,2,25,1,0,0.0
7202,2,27,2,1,0.5
7202,2,30,1,1,1.0
7202,2,31,1,0,0.0
7202,3,29,1,1,1.0
7202,4,38,1,1,1.0
7202,4,45,1,1,1.0
7202,5,34,1,1,1.0
7202,5,39,1,1,1.0
7202,6,36,1,1,1.0
7203,6,38,1,1,1.0
7205,1,30,2,0,0.0
7205,1,31,4,2,0.5
7205,3,25,1,0,0.0
7207,3,12,1,0,0.0
7207,3,15,1,0,0.0
7207,3,16,1,0,0.0
7207,3,23,2,0,0.0
7208,0,17,1,0,0.0
7208,2,18,1,1,1.0
7208,3,16,1,1,1.0
7208,3,17,1,0,0.0
7208,3,19,2,1,0.5
7208,3,24,1,1,1.0
7210,3,15,1,0,0.0
7210,3,18,1,1,1.0
7210,3,19,1,1,1.0
7210,3,21,1,0,0.0
7210,3,22,1,0,0.0
7210,3,23,1,0,0.0
7210,3,24,2,1,0.5
7210,3,25,2,0,0.0
7212,3,19,1,0,0.0
7212,3,24,3,3,1.0
7212,5,16,1,0,0.0
7213,0,23,1,1,1.0
7213,0,30,1,1,1.0
7213,2,19,1,0,0.0
7213,2,32,2,1,0.5
7213,2,33,1,0,0.0
7213,3,14,1,0,0.0
7213,4,38,1,0,0.0
7213,4,42,1,0,0.0
7214,2,12,1,1,1.0
7214,3,1,1,1,1.0
7214,3,18,1,0,0.0
7214,3,19,2,1,0.5
7214,3,21,2,1,0.5
7214,3,23,1,0,0.0
7214,3,24,4,0,0.0
7214,3,25,1,1,1.0
7218,0,20,1,0,0.0
7218,0,24,2,0,0.0
7218,0,25,3,2,0.6667
7218,0,26,1,1,1.0
7218,2,35,1,1,1.0
7218,4,15,1,0,0.0
7219,0,13,1,0,0.0
7219,0,19,1,0,0.0
7219,0,23,2,0,0.0
7219,0,25,2,0,0.0
7219,0,26,2,1,0.5
7220,2,42,1,1,1.0
