KerbsideID,weekday,slot_30,total_obs,availability_rate
5691,3,18,1,1.0
5706,3,24,1,1.0
5726,2,19,1,1.0
5734,2,35,1,1.0
5736,5,33,1,0.0
5737,2,32,1,0.0
5738,1,34,1,0.0
5739,1,34,1,0.0
5921,6,36,1,0.0
5922,6,31,1,0.0
5923,6,36,1,0.0
5924,6,36,1,0.0
5925,6,36,1,0.0
5926,6,35,1,0.0
5927,6,37,1,0.0
5928,6,36,1,0.0
5929,6,36,1,0.0
5930,6,32,1,0.0
5931,6,37,1,0.0
5932,6,35,1,0.0
5933,6,37,1,0.0
5934,6,36,1,0.0
5935,6,31,1,0.0
5936,6,33,1,0.0
5937,6,37,1,0.0
5938,6,34,1,0.0
5939,6,34,1,0.0
5940,6,37,1,1.0
5941,6,37,1,0.0
5942,6,37,1,1.0
5943,6,33,1,0.0
5944,6,34,1,1.0
5945,6,37,1,0.0
5946,6,30,1,0.0
5947,6,35,1,0.0
5948,6,34,1,0.0
5949,6,33,1,0.0
5950,6,34,1,0.0
5953,6,36,1,0.0
5959,6,34,1,1.0
5960,3,18,1,1.0
5961,6,34,1,1.0
5962,6,36,1,0.0
5963,6,36,1,1.0
5964,6,33,1,1.0
5965,6,38,1,1.0
6369,3,26,1,1.0
6370,1,19,1,0.0
6390,2,18,1,0.0
6391,3,18,1,0.0
6548,4,21,1,0.0
6754,0,17,1,0.0
6756,0,3,1,1.0
6763,1,46,1,1.0
6933,2,22,1,0.0
6934,2,21,1,0.0
6992,2,37,1,1.0
7180,3,4,1,1.0
7484,6,37,1,0.0
7485,6,37,1,1.0
7486,6,36,1,0.0
7487,6,33,1,0.0
7488,6,35,1,0.0
7489,6,35,1,0.0
7490,6,34,1,0.0
7494,6,36,1,1.0
7495,6,33,1,0.0
7499,6,36,1,0.0
7500,6,33,1,0.0
7501,6,31,1,0.0
7605,3,26,1,0.0
7837,6,36,1,1.0
7838,6,30,1,0.0
7839,6,36,1,0.0
7840,6,36,1,0.0
7841,6,37,1,0.0
7842,6,37,1,1.0
7843,6,35,1,0.0
7844,6,31,1,0.0
7845,6,30,1,0.0
7846,6,31,1,0.0
7847,6,35,1,0.0
7848,6,33,1,0.0
7849,6,35,1,0.0
7850,6,13,1,0.0
7851,5,43,1,0.0
7852,6,32,1,0.0
7853,6,38,1,1.0
7855,6,36,1,1.0
7856,6,35,1,0.0
7857,6,33,1,0.0
7858,6,34,1,0.0
7859,6,36,1,0.0
7860,6,36,1,1.0
7861,6,36,1,1.0
7862,6,36,1,0.0
7863,6,37,1,0.0
7864,6,36,1,1.0
7865,6,35,1,0.0
7866,6,31,1,0.0
7867,6,36,1,1.0
7868,6,30,1,1.0
7869,6,36,1,0.0
7870,6,37,1,0.0
7871,6,38,1,0.0
7872,6,35,1,1.0
7873,6,37,1,1.0
7874,6,31,1,0.0
7875,6,35,1,0.0
7876,6,35,1,1.0
7877,6,37,1,1.0
7878,6,36,1,1.0
7879,6,36,1,1.0
7880,6,36,1,1.0
7881,6,23,1,0.0
7882,6,36,1,1.0
7894,5,27,1,1.0
7895,6,36,1,1.0
7929,6,37,1,1.0
8393,5,21,1,1.0
8394,0,30,1,0.0
8395,0,21,1,1.0
8396,0,15,1,1.0
8397,4,3,1,1.0
8728,3,28,1,1.0
8729,3,26,1,0.0
8730,3,27,1,1.0
8731,3,28,1,0.0
8732,3,28,1,1.0
8733,3,27,1,0.0
8734,3,24,1,0.0
8735,3,27,1,0.0
8736,3,27,1,1.0
8737,3,27,1,1.0
8738,3,27,1,0.0
8739,2,42,1,1.0
8740,2,39,1,1.0
8741,3,26,1,1.0
8742,3,18,1,1.0
8743,3,24,1,1.0
8744,3,27,1,1.0
8745,3,8,1,1.0
8746,5,44,1,1.0
8747,2,35,1,1.0
8748,6,1,1,1.0
8749,3,20,1,1.0
8750,3,28,1,0.0
8751,6,1,1,1.0
8752,3,26,1,0.0
8753,3,27,1,1.0
8754,3,27,1,0.0
8888,4,17,1,0.0
8889,4,20,1,0.0
8890,4,19,1,0.0
8891,4,21,1,0.0
8892,4,24,1,1.0
8893,4,20,1,0.0
8900,4,19,1,0.0
8901,4,17,1,0.0
9337,6,28,1,1.0
9338,2,21,1,0.0
9340,5,28,1,1.0
9341,2,21,1,1.0
9342,2,21,1,0.0
9343,2,21,1,0.0
9344,6,36,1,1.0
9345,6,42,1,1.0
9346,2,20,1,0.0
9347,2,27,1,0.0
9350,6,32,1,0.0
9351,6,47,1,0.0
9354,2,21,1,1.0
9355,2,28,1,1.0
9356,4,42,1,1.0
9357,2,15,1,1.0
9358,2,21,1,1.0
9366,1,35,1,1.0
9367,3,27,1,1.0
9371,2,29,1,1.0
9372,6,26,1,1.0
9373,2,38,1,1.0
9375,6,35,1,1.0
9376,2,28,1,1.0
9377,2,28,1,1.0
9378,2,24,1,1.0
9379,5,45,1,1.0
9380,6,42,1,1.0
9382,1,14,1,1.0
9383,3,13,1,1.0
9384,2,28,1,1.0
9385,0,40,1,1.0
9386,3,15,1,1.0
9405,6,35,1,0.0
9418,6,28,1,0.0
9421,6,32,1,0.0
9422,6,19,1,0.0
9423,6,32,1,0.0
9424,6,37,1,0.0
9425,6,32,1,1.0
9426,6,35,1,0.0
9428,6,36,1,1.0
9429,6,37,1,0.0
9430,6,35,1,0.0
9431,6,32,1,0.0
9432,6,36,1,0.0
9433,6,30,1,0.0
9435,4,23,1,0.0
9436,6,38,1,0.0
9437,6,32,1,1.0
9438,6,35,1,0.0
9439,6,35,1,0.0
9440,6,15,1,0.0
9441,5,35,1,0.0
9442,6,37,1,1.0
9443,4,41,1,0.0
9444,6,36,1,0.0
9445,6,37,1,0.0
9448,1,36,1,0.0
9449,5,39,1,0.0
9450,6,36,1,0.0
9451,6,36,1,0.0
9454,6,37,1,0.0
9455,6,37,1,1.0
9456,6,29,1,0.0
9463,6,36,1,0.0
9464,6,36,1,0.0
9465,6,37,1,0.0
9466,6,32,1,0.0
9467,6,37,1,0.0
9468,6,36,1,1.0
9469,6,29,1,0.0
9470,6,31,1,0.0
9471,6,22,1,0.0
9574,6,31,1,1.0
9575,6,38,1,1.0
9576,6,34,1,1.0
9577,6,36,1,0.0
9578,6,37,1,0.0
9581,5,29,1,1.0
9582,6,36,1,0.0
9583,6,37,1,0.0
9584,6,34,1,0.0
9585,6,37,1,0.0
9586,6,36,1,0.0
9587,6,29,1,1.0
9588,6,36,1,0.0
9589,6,37,1,0.0
9590,6,34,1,0.0
9598,6,22,1,0.0
9599,6,37,1,1.0
9600,6,17,1,0.0
9602,6,38,1,0.0
9603,6,36,1,0.0
9605,6,38,1,0.0
9606,6,34,1,0.0
9607,6,33,1,0.0
9608,6,10,1,1.0
9609,1,18,1,0.0
9610,6,36,1,0.0
9611,6,35,1,1.0
9612,6,36,1,0.0
9613,6,34,1,0.0
9614,6,38,1,0.0
9615,6,37,1,0.0
9617,6,34,1,0.0
9619,6,38,1,1.0
9620,6,35,1,0.0
9621,6,36,1,0.0
9622,6,38,1,0.0
9623,6,35,1,1.0
9624,6,30,1,0.0
9625,6,37,1,1.0
9626,6,23,1,0.0
9627,6,31,1,1.0
9628,6,33,1,0.0
9631,3,34,1,1.0
9632,3,37,1,1.0
9633,3,32,1,1.0
9634,3,32,1,1.0
9636,3,35,1,1.0
9637,3,34,1,1.0
9638,3,32,1,1.0
9639,3,33,1,1.0
9640,3,32,1,1.0
9641,4,36,1,1.0
9642,3,33,1,1.0
9643,3,32,1,1.0
9644,3,35,1,1.0
9645,3,32,1,1.0
9646,3,34,1,1.0
9647,3,32,1,1.0
9648,3,32,1,1.0
9727,1,24,1,0.0
9728,1,29,1,0.0
9729,1,27,1,1.0
9730,1,19,1,0.0
9731,1,20,1,1.0
9732,1,24,1,0.0
9733,1,24,1,1.0
9734,1,19,1,0.0
9735,1,24,1,0.0
9736,1,19,1,0.0
9737,1,20,1,0.0
10279,1,15,1,1.0
10280,0,33,1,0.0
10282,1,26,1,0.0
10283,3,31,1,0.0
10285,1,25,1,0.0
10286,1,25,1,1.0
10287,1,26,1,1.0
10288,0,42,1,0.0
10289,1,24,1,0.0
10290,6,20,1,1.0
10292,1,26,1,1.0
10293,4,46,1,0.0
10294,1,15,1,1.0
10295,1,21,1,1.0
10296,1,22,1,0.0
10317,1,45,1,1.0
10318,6,29,1,0.0
10319,6,31,1,0.0
10321,1,24,1,0.0
10322,3,32,1,0.0
10323,3,30,1,0.0
10324,3,19,1,0.0
10325,3,30,1,0.0
10667,6,27,1,1.0
10668,4,12,1,1.0
10669,4,15,1,1.0
10670,3,46,1,1.0
10672,4,28,1,0.0
10678,0,26,1,1.0
10706,0,26,1,0.0
10707,0,26,1,1.0
10708,0,30,1,1.0
10709,0,30,1,0.0
10711,6,36,1,0.0
10712,4,42,1,0.0
10713,5,16,1,0.0
10714,6,27,1,0.0
10716,6,35,1,0.0
10717,6,37,1,1.0
10718,5,24,1,0.0
10719,6,36,1,0.0
10720,6,33,1,0.0
10721,6,37,1,0.0
10722,6,28,1,0.0
10723,6,35,1,1.0
10724,6,34,1,0.0
10725,5,1,1,0.0
10726,1,30,1,0.0
10727,4,37,1,0.0
10728,6,37,1,1.0
10729,3,36,1,0.0
10730,6,38,1,0.0
10731,6,36,1,0.0
10732,6,27,1,0.0
10742,6,37,1,0.0
10743,6,33,1,0.0
10744,4,1,1,0.0
10745,6,35,1,1.0
10746,5,22,1,0.0
10801,4,22,1,0.0
10802,0,26,1,0.0
10803,6,20,1,0.0
10804,4,26,1,1.0
10805,3,42,1,1.0
10823,3,39,1,0.0
10824,4,20,1,0.0
