KerbsideID,Latitude,Longitude,RoadSegmentDescription,Zone_Number
,-37.8063148,144.9510003,Eades Place between Stanley Street and Roden Street,7924.0
,-37.806336,144.9510099,Eades Place between Stanley Street and Roden Street,7924.0
53514,-37.8095393,144.9611125,Elizabeth Street between Little La Trobe Street and A'Beckett Street,
,-37.8193111,144.9892143,Vale Street South between Punt Road and Vale Street,
,-37.8055095,144.9478015,Curzon Street between Miller Street and Victoria Street,7753.0
,-37.8053609,144.9478282,Curzon Street between Miller Street and Victoria Street,7753.0
,-37.8054108,144.9478192,Curzon Street between Miller Street and Victoria Street,7753.0
,-37.8053109,144.9478372,Curzon Street between Miller Street and Victoria Street,7753.0
67632,-37.8075082,144.9669498,MacKenzie Street between Victoria Street and Russell Street,7076.0
50511,-37.8098731,144.9723553,Spring Street between Little Bourke Street and Lonsdale Street,7647.0
,-37.8150418,144.9832486,George Street between Powlett Street and Clarendon Street,7250.0
,-37.814261,144.9406016,Rakaia Way between Docklands Drive and Caravel Lane,7160.0
,-37.8151264,144.984855,George Street between Powlett Street and Clarendon Street,7250.0
,-37.8051321,144.9579357,O'Connell Street between Victoria Street and Queensberry Street,7721.0
,-37.8082153,144.9492882,Stanley Street between King Street and Spencer Street,
,-37.795741,144.940799,Canning Street between Shiel Street and Vaughan Terrace,
,-37.7961244,144.9400947,Vaughan Terrace between MacAulay Road and Canning Street,
,-37.7964991,144.9424387,Shiel Street between Dryburgh Street and Canning Street,
,-37.7958309,144.9427433,Canning Street between Dryburgh Street and Shiel Street,
,-37.7814872,144.9501614,Upfield Railway,
,-37.7814524,144.9502966,Upfield Railway,
,-37.7814134,144.9504993,Upfield Railway,
,-37.7814088,144.9505285,Upfield Railway,
,-37.7816165,144.9500606,Upfield Railway,
,-37.781584,144.9501726,Upfield Railway,
,-37.7815762,144.9502001,Upfield Railway,
,-37.7815687,144.9502278,Upfield Railway,
,-37.7815018,144.950549,Upfield Railway,
,-37.8083331,144.9748321,Victoria Parade between Nicholson Street and Gisborne Street,7245.0
,-37.8354806,144.9823266,Intersection of Park Street and St Martins Lane,
22860,-37.8053088,144.9616267,Bouverie Street between Victoria Street and Queensberry Street,7025.0
